id,tag,description,category_originale,thumbs_up,thumbs_down,type_expression,valence_emotionnelle,intensite,energie,physiologie,tonalite,dimension_temporelle
184,[attic ambient],Speaker sounds like they are in an attic space,Environment,16,5,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
217,[audience applause],Speaker sounds like they are hearing audience applause,Environment,15,5,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
736,[audiobook chassis],Speaker sounds like audiobook processing,Effects,8,2,effet_technique,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1772,[authoritative],Commanding respect,Emotion,12,4,emotion,ambivalent,fort,moyenne,non_applicable,non_applicable,non_applicable
725,[auto‑tune],Speaker sounds like auto-tuned,Effects,12,3,effet_technique,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
426,[avant-garde tone],Speaker uses experimental narrative style,Narrative,13,4,narration,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
929,[awkward laugh],Speaker laughs awkwardly in an uncomfortable way,Humor,13,4,humour,positif,modere,moyenne,non_applicable,non_applicable,non_applicable
1260,[baby crying],Sound of baby crying,Sound Effects,15,5,effet_sonore,negatif,modere,non_applicable,visage,non_applicable,non_applicable
662,[back and forth],Speaker engages in rapid dialogue exchange,Dialogue,12,3,dialogue,neutre,modere,haute,douleur,non_applicable,rapide
283,[back pain],Speaker sounds like they have back pain,Body States,11,3,etat_physique,negatif,modere,moyenne,douleur,non_applicable,non_applicable
803,[backmasking],Speaker sounds like backmasked audio,Effects,10,3,effet_technique,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1267,[ball bounce],Sound of ball bouncing,Sound Effects,6,1,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1230,[balloon pop],Sound of balloon popping,Sound Effects,14,4,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1283,[balloon squeak],Sound of balloon squeaking,Sound Effects,12,4,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
715,[band reject],Speaker sounds like band reject filtered,Effects,15,5,effet_technique,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
714,[bandpass],Speaker sounds like bandpass filtered,Effects,14,4,effet_technique,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
606,[bargains],Speaker bargains during dialogue,Dialogue,6,2,dialogue,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1268,[basketball dribble],Sound of basketball dribbling,Sound Effects,4,1,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
786,[bass boost],Speaker sounds like bass boosted,Effects,5,1,effet_technique,neutre,modere,moyenne,non_applicable,grave,non_applicable
124,[beach breeze],Speaker sounds like they are experiencing a gentle beach breeze,Environment,4,1,environnement_acoustique,positif,subtil,non_applicable,non_applicable,douce,lent
125,[beach party],Speaker sounds like they are at a lively beach party,Environment,11,3,environnement_acoustique,positif,modere,tres_haute,non_applicable,non_applicable,non_applicable
123,[beach waves],Speaker sounds like they are near ocean waves at a beach,Environment,13,4,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
683,[beat change],Speaker changes the dialogue beat,Dialogue,5,1,dialogue,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1475,[beat],Rhythmic pulse timing,Rhythm,5,1,rythme_tempo,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1017,[beatbox joke],Speaker makes beatboxing humor,Humor,6,1,humour,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
409,[bedtime story],Speaker uses sleepy bedtime narrative,Narrative,6,1,narration,neutre,modere,basse,non_applicable,non_applicable,nuit
1189,[bee buzzing],Sound of bee buzzing,Sound Effects,15,5,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1617,[beep],Electronic tone,Vocal Effects,6,3,vocalisation_non_verbale,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
991,[belch sound],Speaker makes belching sounds for humor,Humor,10,3,humour,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1563,[belch],Burping sound,Vocal Effects,8,2,vocalisation_non_verbale,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1395,[bellowing],Speaker speaks very loudly,Styles,15,4,style_parole,neutre,extreme,moyenne,non_applicable,non_applicable,non_applicable
263,[belly ache],Speaker sounds like they have stomach pain,Body States,14,4,etat_physique,negatif,modere,moyenne,douleur,non_applicable,non_applicable
322,[belly sigh],Speaker sounds like they are sighing from their belly,Body States,9,2,etat_physique,neutre,modere,moyenne,respiration,non_applicable,non_applicable
561,[bildungsroman],Speaker sounds like they are in a coming-of-age novel,Genre,10,3,genre_narratif,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
482,[biopunk],Speaker sounds like they are in a biopunk world,Genre,10,3,genre_narratif,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1181,[bird chirping],Sound of birds chirping,Sound Effects,15,5,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
697,[bitcrushed],Speaker sounds like bitcrushed audio effect,Effects,11,3,effet_technique,neutre,modere,moyenne,non_applicable,non_applicable,rapide
740,[bitrate drop],Speaker sounds like reduced bitrate,Effects,14,4,effet_technique,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1725,[bitter],"Harsh, resentful",Emotion,11,3,emotion,negatif,modere,moyenne,non_applicable,dure,non_applicable
1653,[blah],Disgust or boredom,Vocal Effects,10,3,vocalisation_non_verbale,negatif,modere,moyenne,non_applicable,non_applicable,non_applicable
347,[blank stare],Speaker sounds like they are staring blankly,Body States,4,1,etat_physique,neutre,modere,moyenne,visage,non_applicable,non_applicable
1616,[bleep],Censoring sound,Vocal Effects,6,2,vocalisation_non_verbale,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1220,[blender],Sound of blender mixing,Sound Effects,11,3,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1649,[bless you],Sneeze response,Vocal Effects,8,2,vocalisation_non_verbale,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1682,[blissful],Pure joy and serenity,Emotion,10,3,emotion,positif,extreme,moyenne,non_applicable,non_applicable,non_applicable
290,[block nose],Speaker sounds like they have a blocked nose,Body States,11,3,etat_physique,neutre,modere,moyenne,sensation,nasale,non_applicable
995,[blue joke],Speaker tells slightly risqué humor,Humor,14,4,humour,neutre,subtil,moyenne,non_applicable,aigue,non_applicable
1424,[blunt],Speaker speaks directly without tact,Styles,6,1,style_parole,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
285,[blurry vision],Speaker sounds like they have blurry vision,Body States,11,3,etat_physique,neutre,modere,moyenne,sensation,non_applicable,non_applicable
300,[blushing],Speaker sounds like they are blushing,Body States,6,2,etat_physique,neutre,modere,moyenne,visage,non_applicable,non_applicable
508,[body horror],Speaker sounds like they are in a body horror story,Genre,9,2,genre_narratif,negatif,modere,moyenne,non_applicable,non_applicable,non_applicable
953,[boing sound],Speaker makes cartoon boing sound effects,Humor,15,5,humour,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1672,[boo-hoo],Crying sound,Vocal Effects,12,4,vocalisation_non_verbale,negatif,modere,moyenne,visage,non_applicable,non_applicable
1600,[boo],Disapproval crowd sound,Vocal Effects,7,2,vocalisation_non_verbale,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1317,[book close],Sound of book closing,Sound Effects,15,5,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1396,[booming],Speaker speaks with resonant volume,Styles,12,3,style_parole,neutre,modere,moyenne,non_applicable,grave,non_applicable
15,[bored midday],Speaker sounds uninterested and monotonous at midday,Mood,6,1,humeur_tonale,negatif,modere,moyenne,non_applicable,non_applicable,matin
1782,[bored],"Uninterested, weary",Emotion,6,2,emotion,negatif,modere,basse,non_applicable,non_applicable,non_applicable
1233,[bottle opening],Sound of bottle being opened,Sound Effects,13,4,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1410,[bouncing],Speaker speaks with lively rhythm,Styles,9,2,style_parole,positif,modere,tres_haute,non_applicable,non_applicable,non_applicable
1541,[bouncy],"Energetic, lively rhythm",Rhythm,8,2,rythme_tempo,positif,fort,tres_haute,non_applicable,non_applicable,non_applicable
1239,[bow string],Sound of bow string being released,Sound Effects,6,2,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1271,[bowling strike],Sound of bowling ball hitting pins,Sound Effects,9,2,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1694,[brave],"Courageous, fearless",Emotion,11,3,emotion,positif,modere,moyenne,non_applicable,non_applicable,non_applicable
1591,[breath hold],Suspended breathing,Vocal Effects,13,4,vocalisation_non_verbale,neutre,modere,moyenne,respiration,non_applicable,non_applicable
1525,[breath orders],Breathing pattern control,Rhythm,15,7,rythme_tempo,neutre,modere,moyenne,respiration,non_applicable,non_applicable
236,[breathing heavily],Speaker sounds like they are breathing heavily,Body States,10,3,etat_physique,neutre,modere,moyenne,respiration,non_applicable,non_applicable
1461,[breathless],"Out of breath, rapid speech",Rhythm,12,4,rythme_tempo,neutre,modere,haute,respiration,non_applicable,rapide
1551,[breathy sigh],"Soft, whispered exhale",Vocal Effects,10,3,vocalisation_non_verbale,neutre,subtil,moyenne,respiration,douce,non_applicable
1338,[breathy],Speaker speaks with breathy vocal quality,Styles,14,4,style_parole,neutre,modere,moyenne,respiration,aigue,non_applicable
1510,[brevity],"Concise, short delivery",Rhythm,4,1,rythme_tempo,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
7,[bright morning],Speaker sounds cheerful and optimistic in the morning,Mood,7,2,humeur_tonale,positif,modere,moyenne,non_applicable,non_applicable,matin
2,[brisk morning],Speaker sounds energetic and crisp in the morning,Mood,13,4,humeur_tonale,positif,fort,haute,non_applicable,non_applicable,matin
751,[brown noise],Speaker sounds like brown noise effect,Effects,9,2,effet_technique,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1647,[brr],Cold shivering sound,Vocal Effects,6,1,vocalisation_non_verbale,negatif,modere,moyenne,sensation,dure,non_applicable
1198,[bubble pop],Sound of bubble popping,Sound Effects,4,1,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1313,[bubble wrap],Sound of bubble wrap popping,Sound Effects,11,3,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
634,[building anticipation],Speaker builds anticipation in dialogue,Dialogue,16,4,dialogue,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
630,[building tension],Speaker builds tension in dialogue,Dialogue,6,2,dialogue,negatif,modere,moyenne,non_applicable,non_applicable,non_applicable
1537,[building tension],Escalating intensity,Rhythm,6,1,rythme_tempo,negatif,modere,moyenne,non_applicable,non_applicable,non_applicable
286,[burning eyes],Speaker sounds like their eyes are burning,Body States,11,3,etat_physique,neutre,modere,moyenne,sensation,non_applicable,non_applicable
951,[burp laughter],Speaker laughs while burping,Humor,15,4,humour,positif,modere,moyenne,non_applicable,non_applicable,non_applicable
1586,[burp],Stomach gas release,Vocal Effects,14,4,vocalisation_non_verbale,neutre,modere,moyenne,douleur,non_applicable,non_applicable
261,[burping],Speaker sounds like they are burping,Body States,4,1,etat_physique,neutre,modere,moyenne,sensation,non_applicable,non_applicable
1561,[cackle],"Wild, harsh laugh",Vocal Effects,13,4,vocalisation_non_verbale,ambivalent,modere,tres_haute,non_applicable,dure,non_applicable
1405,[cadenced],Speaker speaks with regular rhythm,Styles,5,1,style_parole,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
136,[cafe ambient],Speaker sounds like they are in a coffee shop atmosphere,Environment,15,5,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
137,[cafe barista],Speaker sounds like they are near a busy coffee counter,Environment,8,2,environnement_acoustique,neutre,modere,haute,non_applicable,non_applicable,non_applicable
139,[cafe conversation],Speaker sounds like they are in a cafe with conversations,Environment,11,3,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
138,[cafe cups],Speaker sounds like they are hearing coffee cups and dishes,Environment,11,3,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
140,[cafe music],Speaker sounds like they are in a cafe with background music,Environment,5,1,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1420,[calculated],Speaker speaks with planned intent,Styles,15,4,style_parole,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1472,[calculated],"Precise, deliberate timing",Rhythm,14,4,rythme_tempo,neutre,modere,moyenne,non_applicable,non_applicable,lent
328,[calf ache],Speaker sounds like their calves are aching,Body States,10,3,etat_physique,negatif,modere,moyenne,douleur,non_applicable,non_applicable
941,[callback joke],Speaker references an earlier joke,Humor,8,2,humour,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
467,[callback narration],Speaker references earlier narrative points,Narrative,11,3,narration,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1,[calm morning],Speaker sounds peaceful and serene in the morning,Mood,5,1,humeur_tonale,positif,modere,basse,non_applicable,non_applicable,matin
1696,[calm],"Peaceful, untroubled",Emotion,9,3,emotion,positif,modere,basse,non_applicable,non_applicable,non_applicable
447,[calming narration],Speaker uses peaceful narrative tone,Narrative,15,5,narration,neutre,modere,basse,non_applicable,non_applicable,non_applicable
1210,[camera shutter],Sound of camera taking photo,Sound Effects,12,4,effet_sonore,neutre,extreme,non_applicable,non_applicable,non_applicable,non_applicable
516,[camp],Speaker sounds like they are in a campy story,Genre,14,4,genre_narratif,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
221,[campfire crackle],Speaker sounds like they are near a crackling campfire,Environment,12,4,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
222,[campfire storytelling],Speaker sounds like they are at campfire storytelling,Environment,9,2,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
410,[campfire storytelling],Speaker uses outdoor storytelling style,Narrative,12,4,narration,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1249,[campfire],Sound of campfire burning,Sound Effects,14,5,effet_sonore,neutre,modere,non_applicable,sensation,non_applicable,non_applicable
223,[campground ambient],Speaker sounds like they are in a campground environment,Environment,15,5,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
970,[campy gasp],Speaker gasps in an over-the-top campy way,Humor,15,4,humour,neutre,modere,moyenne,respiration,non_applicable,non_applicable
517,[campy horror],Speaker sounds like they are in a campy horror story,Genre,12,4,genre_narratif,negatif,modere,moyenne,non_applicable,non_applicable,non_applicable
969,[campy tone],Speaker uses deliberately campy humor,Humor,14,4,humour,neutre,modere,moyenne,non_applicable,non_applicable,lent
1232,[can opening],Sound of can being opened,Sound Effects,12,3,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
928,[canned laughter],Speaker sounds like artificial recorded laughter,Humor,6,2,humour,positif,modere,moyenne,non_applicable,non_applicable,non_applicable
177,[car engine],Speaker sounds like they are hearing car engine sounds,Environment,12,3,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1173,[car engine],Sound of car engine running,Sound Effects,15,5,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
178,[car horn],Speaker sounds like they are hearing car horns,Environment,11,3,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
180,[car passing],Speaker sounds like they are hearing cars passing by,Environment,14,4,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
179,[car radio],Speaker sounds like they are listening to car radio,Environment,15,5,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1273,[cards shuffling],Sound of playing cards shuffling,Sound Effects,13,4,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1700,[caring],"Compassionate, loving",Emotion,15,5,emotion,positif,fort,moyenne,non_applicable,non_applicable,non_applicable
1278,[carnival music],Sound of carnival carousel music,Sound Effects,9,2,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1243,[carriage wheels],Sound of carriage wheels rolling,Sound Effects,6,2,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1022,[cartoon sound effect],Speaker makes cartoon-style sound effects,Humor,5,1,humour,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
975,[cartoon voice],Speaker uses an exaggerated cartoon voice,Humor,11,3,humour,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
202,[cash register],Speaker sounds like they are hearing cash register sounds,Environment,10,3,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1227,[cash register],Sound of cash register opening,Sound Effects,7,2,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
770,[cassette wow],Speaker sounds like cassette tape wow effect,Effects,10,3,effet_technique,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
402,[casual chat],Speaker uses informal chat narrative,Narrative,6,2,narration,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1478,[casual pause],"Natural, relaxed breaks",Rhythm,10,3,rythme_tempo,neutre,modere,basse,non_applicable,non_applicable,non_applicable
1332,[casual],Speaker uses relaxed informal style,Styles,14,4,style_parole,neutre,modere,basse,non_applicable,non_applicable,non_applicable
1180,[cat meowing],Sound of cat meowing,Sound Effects,10,3,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
392,[cautionary tone],Speaker uses warning narrative approach,Narrative,8,2,narration,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
183,[cellar ambient],Speaker sounds like they are in a basement or cellar,Environment,15,5,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1502,[chain-pushed],"Connected, flowing words",Rhythm,9,2,rythme_tempo,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1218,[chainsaw],Sound of chainsaw running,Sound Effects,15,4,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1321,[chalk squeak],Sound of chalk on blackboard,Sound Effects,9,2,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1285,[champagne cork],Sound of champagne cork popping,Sound Effects,9,3,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
623,[changes subject],Speaker changes the topic,Dialogue,10,3,dialogue,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1402,[chanting],Speaker speaks in rhythmic repetition,Styles,16,4,style_parole,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
963,[character trope],Speaker plays up comedic character stereotypes,Humor,9,2,humour,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
205,[checkout beep],Speaker sounds like they are hearing checkout scanner beeps,Environment,15,5,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1681,[cheerful],"Bright, upbeat mood",Emotion,15,4,emotion,positif,modere,tres_haute,non_applicable,non_applicable,non_applicable
1599,[cheers],Celebratory crowd noise,Vocal Effects,5,1,vocalisation_non_verbale,positif,modere,moyenne,non_applicable,non_applicable,non_applicable
993,[cheesy joke],Speaker tells deliberately cheesy jokes,Humor,8,2,humour,neutre,modere,moyenne,non_applicable,non_applicable,lent
1585,[chew],"Eating, chewing sound",Vocal Effects,8,2,vocalisation_non_verbale,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1261,[child laughing],Sound of child laughing,Sound Effects,6,2,effet_sonore,positif,modere,non_applicable,non_applicable,non_applicable,non_applicable
464,[child narrator],Speaker sounds like a child telling story,Narrative,9,2,narration,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
